INSERT INTO transaction (t_date, branch, cashflow, description, uid) VALUES
('2025-05-12','CompanyBudget/StaffWelfare/TeamBuilding/OutdoorActivity',-330,'Outdoor team event',1),
('2025-05-13','CompanyBudget/TravelExpense/InternationalTravel/Flight',-1600,'Flight reservation',1),
('2025-05-13','CompanyBudget/Operations/Utilities/Internet',-120,'Internet payment',1),
('2025-05-14','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-265,'Donation for charity',1),
('2025-05-14','CompanyBudget/Operations/OfficeSupplies/Stationery',-31,'Office supplies',1),

-- 5월 수입
('2025-05-15','CompanyBudget/Operations',900,'Corporate funding received',1),
('2025-05-15','CompanyBudget/EventExpense',650,'Local event support received',1),

('2025-05-16','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-910,'Paid ads',1),
('2025-05-16','CompanyBudget/StaffWelfare/MealSupport/Lunch',-83,'Lunch cost',1),
('2025-05-17','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-26,'Taxi to station',1),
('2025-05-17','CompanyBudget/Operations/OfficeSupplies/Printing',-42,'Document printing',1),
('2025-05-18','CompanyBudget/EventExpense/AnnualEvents/SummerFestival',-280,'Summer festival materials',1),
('2025-05-18','CompanyBudget/StaffWelfare/TeamBuilding/Workshop',-300,'Workshop instructor fee',1),
('2025-05-19','CompanyBudget/Operations/Utilities/Electricity',-250,'Electricity payment',1),
('2025-05-19','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Bus',-8,'Bus travel',1),
('2025-05-20','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-640,'Booth wiring',1),
('2025-05-20','CompanyBudget/StaffWelfare/MealSupport/Dinner',-107,'Dinner reimbursement',1),

-- May 21–31
('2025-05-21','CompanyBudget/Operations/OfficeSupplies/Stationery',-28,'Office materials',1),
('2025-05-21','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-255,'Local sponsorship',1),
('2025-05-22','CompanyBudget/Operations/Utilities/Internet',-120,'Internet',1),
('2025-05-22','CompanyBudget/TravelExpense/InternationalTravel/VisaFee',-170,'Visa fee',1),
('2025-05-23','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-920,'Launch campaign ads',1),
('2025-05-23','CompanyBudget/StaffWelfare/TeamBuilding/OutdoorActivity',-340,'Activity cost',1),
('2025-05-24','CompanyBudget/Operations/OfficeSupplies/Printing',-45,'Poster printing',1),
('2025-05-24','CompanyBudget/EventExpense/AnnualEvents/SummerFestival',-265,'Festival coordination',1),
('2025-05-25','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-31,'Taxi travel',1),
('2025-05-25','CompanyBudget/StaffWelfare/MealSupport/Lunch',-78,'Lunch',1),

-- 5월 끝까지 대략 140개 돌파

-- June 1–10
('2025-06-01','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-950,'Ad campaign extension',1),
('2025-06-01','CompanyBudget/Operations/Utilities/Electricity',-260,'Electricity bill',1),
('2025-06-02','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-27,'Taxi to office',1),
('2025-06-02','CompanyBudget/Operations/OfficeSupplies/Stationery',-25,'Small supplies',1),
('2025-06-03','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-275,'Community donation',1),
('2025-06-03','CompanyBudget/StaffWelfare/MealSupport/Dinner',-118,'Dinner expense',1),
('2025-06-04','CompanyBudget/TravelExpense/InternationalTravel/Flight',-1650,'International travel booking',1),
('2025-06-04','CompanyBudget/TravelExpense/InternationalTravel/VisaFee',-170,'Visa payment',1),
('2025-06-05','CompanyBudget/EventExpense/AnnualEvents/SummerFestival',-290,'Festival supplies',1),
('2025-06-05','CompanyBudget/Operations/Utilities/Internet',-120,'Internet bill',1),

-- June income
('2025-06-06','CompanyBudget/Operations',950,'Company support grant received',1),

('2025-06-06','CompanyBudget/Operations/OfficeSupplies/Printing',-50,'Document print',1),
('2025-06-07','CompanyBudget/StaffWelfare/TeamBuilding/OutdoorActivity',-360,'Outdoor activity booking',1),
('2025-06-07','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Bus',-9,'Bus ride',1),
('2025-06-08','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-630,'Booth installation',1),
('2025-06-08','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-240,'Local charity donation',1),
('2025-06-09','CompanyBudget/Operations/OfficeSupplies/Stationery',-35,'Office goods',1),
('2025-06-09','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-910,'Ad budget expansion',1),
('2025-06-10','CompanyBudget/StaffWelfare/MealSupport/Lunch',-81,'Lunch reimbursement',1),
('2025-06-10','CompanyBudget/Operations/Utilities/Electricity',-245,'Electricity usage',1),

-- June 11–20
('2025-06-11','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-30,'Taxi to event site',1),
('2025-06-11','CompanyBudget/EventExpense/AnnualEvents/SummerFestival',-300,'Festival scheduling cost',1),
('2025-06-12','CompanyBudget/Operations/OfficeSupplies/Printing',-52,'Flyer printing',1),
('2025-06-12','CompanyBudget/StaffWelfare/TeamBuilding/Workshop',-315,'Workshop cost',1),
('2025-06-13','CompanyBudget/TravelExpense/InternationalTravel/Flight',-1580,'Flight reservation',1),
('2025-06-13','CompanyBudget/Operations/Utilities/Internet',-120,'Internet fee',1),
('2025-06-14','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-260,'Local charity fee',1),
('2025-06-14','CompanyBudget/StaffWelfare/MealSupport/Dinner',-114,'Dinner expense',1),
('2025-06-15','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-660,'Booth wiring work',1),
('2025-06-15','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Bus',-7,'Bus',1),

-- 마지막 후원금
('2025-06-16','CompanyBudget/EventExpense',700,'Regional event support received',1),

('2025-06-16','CompanyBudget/Operations/OfficeSupplies/Stationery',-29,'Binders and paper',1),
('2025-06-17','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-880,'Final launch ads',1),
('2025-06-17','CompanyBudget/Operations/Utilities/Electricity',-240,'Utility payment',1),
('2025-06-18','CompanyBudget/TravelExpense/DomesticTravel/Accommodation/Hotel',-430,'Hotel booking',1),
('2025-06-18','CompanyBudget/StaffWelfare/MealSupport/Lunch',-82,'Team lunch',1),
('2025-06-19','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-245,'Community assistance',1),
('2025-06-19','CompanyBudget/Operations/OfficeSupplies/Printing',-44,'Document printing',1),
('2025-06-20','CompanyBudget/TravelExpense/InternationalTravel/VisaFee',-170,'Visa issuance',1),
('2025-06-20','CompanyBudget/StaffWelfare/TeamBuilding/OutdoorActivity',-355,'Activity expense',1),

-- June 21–30 (마무리)
('2025-06-21','CompanyBudget/Operations/Utilities/Internet',-120,'Internet charge',1),
('2025-06-21','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-25,'Taxi to office',1),
('2025-06-22','CompanyBudget/EventExpense/AnnualEvents/SummerFestival',-270,'Event supply purchase',1),
('2025-06-22','CompanyBudget/StaffWelfare/MealSupport/Dinner',-116,'Dinner',1),
('2025-06-23','CompanyBudget/Operations/OfficeSupplies/Stationery',-32,'Office equipment',1),
('2025-06-23','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-230,'Charity donation',1),
('2025-06-24','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-600,'Final booth adjustments',1),
('2025-06-24','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Bus',-8,'Bus ride',1),
('2025-06-25','CompanyBudget/Operations/OfficeSupplies/Printing',-39,'Printed reports',1),
('2025-06-25','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-930,'Post-launch ads',1),
('2025-06-26','CompanyBudget/StaffWelfare/MealSupport/Lunch',-78,'Lunch cost',1),
('2025-06-26','CompanyBudget/Operations/Utilities/Electricity',-250,'Electricity',1),
('2025-06-27','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-260,'Community project support',1),
('2025-06-27','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-29,'Taxi to vendor',1),
('2025-06-28','CompanyBudget/EventExpense/AnnualEvents/SummerFestival',-280,'Festival purchase',1),
('2025-06-28','CompanyBudget/StaffWelfare/TeamBuilding/Workshop',-320,'Workshop facilitation',1),
('2025-06-29','CompanyBudget/Operations/OfficeSupplies/Stationery',-30,'Office stationery',1),
('2025-06-29','CompanyBudget/TravelExpense/InternationalTravel/Flight',-1620,'Flight for overseas event',1),
('2025-06-30','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-960,'Campaign wind-down ads',1),
('2025-06-30','CompanyBudget/StaffWelfare/MealSupport/Dinner',-111,'Dinner support',1);

INSERT INTO transaction (t_date, branch, cashflow, description, uid) VALUES
-- July 1–10
('2025-07-01','CompanyBudget/Operations/Utilities/Electricity',-260,'Electricity bill',1),
('2025-07-01','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-29,'Taxi to office',1),
('2025-07-01','CompanyBudget/Operations/OfficeSupplies/Stationery',-32,'Office stationery',1),
('2025-07-02','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-910,'Mid-year marketing ads',1),
('2025-07-02','CompanyBudget/StaffWelfare/MealSupport/Lunch',-85,'Lunch subsidy',1),
('2025-07-03','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-240,'Community program donation',1),
('2025-07-03','CompanyBudget/Operations/OfficeSupplies/Printing',-48,'Printed materials',1),
('2025-07-04','CompanyBudget/TravelExpense/InternationalTravel/Flight',-1500,'Business trip flight',1),
('2025-07-04','CompanyBudget/TravelExpense/InternationalTravel/VisaFee',-170,'Visa fee',1),
('2025-07-05','CompanyBudget/StaffWelfare/MealSupport/Dinner',-115,'Dinner reimbursement',1),
('2025-07-05','CompanyBudget/Operations/Utilities/Internet',-120,'Internet charge',1),
('2025-07-06','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Bus',-8,'Bus fare',1),
('2025-07-06','CompanyBudget/EventExpense/AnnualEvents/SummerFestival',-310,'Summer festival setup cost',1),
('2025-07-07','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-620,'Booth rental cost',1),
('2025-07-07','CompanyBudget/Operations/OfficeSupplies/Stationery',-25,'Office supplies',1),
('2025-07-08','CompanyBudget/StaffWelfare/TeamBuilding/Workshop',-330,'Workshop fee',1),
('2025-07-08','CompanyBudget/Operations/OfficeSupplies/Printing',-53,'Document printing',1),
('2025-07-09','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-230,'Community donation',1),
('2025-07-09','CompanyBudget/TravelExpense/DomesticTravel/Accommodation/Hotel',-450,'Hotel for regional meeting',1),
('2025-07-10','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-950,'Online ads',1),

-- July 11–20
('2025-07-11','CompanyBudget/Operations/Utilities/Electricity',-250,'Electricity usage',1),
('2025-07-11','CompanyBudget/StaffWelfare/MealSupport/Lunch',-79,'Lunch support',1),
('2025-07-12','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-27,'Taxi to supplier office',1),
('2025-07-12','CompanyBudget/EventExpense/AnnualEvents/SummerFestival',-260,'Event decoration',1),
('2025-07-13','CompanyBudget/Operations/OfficeSupplies/Stationery',-29,'Filing materials',1),
('2025-07-13','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-240,'School donation',1),
('2025-07-14','CompanyBudget/TravelExpense/InternationalTravel/Flight',-1600,'Conference flight',1),
('2025-07-14','CompanyBudget/Operations/Utilities/Internet',-120,'Internet monthly',1),

-- July income
('2025-07-15','CompanyBudget/Operations',900,'Corporate donation received',1),
('2025-07-15','CompanyBudget/EventExpense',720,'Cultural grant received',1),

('2025-07-16','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-610,'Booth setup labor',1),
('2025-07-16','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Bus',-7,'Bus fee',1),
('2025-07-17','CompanyBudget/StaffWelfare/MealSupport/Dinner',-112,'Team dinner',1),
('2025-07-17','CompanyBudget/Operations/OfficeSupplies/Printing',-41,'Project documentation',1),
('2025-07-18','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-255,'Local donation',1),
('2025-07-18','CompanyBudget/Operations/Utilities/Electricity',-245,'Electricity fee',1),
('2025-07-19','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-880,'Ad expansion',1),
('2025-07-19','CompanyBudget/Operations/OfficeSupplies/Stationery',-34,'Office pens',1),
('2025-07-20','CompanyBudget/TravelExpense/InternationalTravel/VisaFee',-170,'Visa issuance',1),
('2025-07-20','CompanyBudget/StaffWelfare/TeamBuilding/OutdoorActivity',-345,'Outdoor activity',1),

-- July 21–31
('2025-07-21','CompanyBudget/Operations/Utilities/Internet',-120,'Internet',1),
('2025-07-21','CompanyBudget/EventExpense/AnnualEvents/SummerFestival',-290,'Event equipment',1),
('2025-07-22','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-26,'Taxi',1),
('2025-07-22','CompanyBudget/Operations/OfficeSupplies/Printing',-47,'Printing expense',1),
('2025-07-23','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-640,'Booth frame installation',1),
('2025-07-23','CompanyBudget/StaffWelfare/MealSupport/Lunch',-88,'Lunch',1),
('2025-07-24','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-260,'Community charity',1),
('2025-07-24','CompanyBudget/Operations/OfficeSupplies/Stationery',-31,'Office equipment',1),

-- 후원금
('2025-07-25','CompanyBudget/Operations',850,'Business support fund',1),

('2025-07-25','CompanyBudget/TravelExpense/DomesticTravel/Accommodation/Guesthouse',-120,'Guesthouse stay',1),
('2025-07-26','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-930,'Promotional ads',1),
('2025-07-26','CompanyBudget/Operations/Utilities/Electricity',-250,'Electricity consumption',1),
('2025-07-27','CompanyBudget/StaffWelfare/MealSupport/Dinner',-118,'Dinner support',1),
('2025-07-27','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Bus',-8,'Bus travel',1),
('2025-07-28','CompanyBudget/EventExpense/AnnualEvents/SummerFestival',-280,'Festival support',1),
('2025-07-28','CompanyBudget/Operations/OfficeSupplies/Printing',-50,'Report printing',1),
('2025-07-29','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-270,'Community help',1),
('2025-07-29','CompanyBudget/StaffWelfare/TeamBuilding/Workshop',-320,'Workshop training',1),
('2025-07-30','CompanyBudget/Operations/OfficeSupplies/Stationery',-30,'Stationery',1),
('2025-07-30','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-32,'Taxi trip',1),
('2025-07-31','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-950,'Advertising campaign',1),
('2025-07-31','CompanyBudget/StaffWelfare/MealSupport/Lunch',-82,'Lunch',1),

-- ====== 7월 약 55개 생성됨 ======
-- ====== 8월 시작 ======

-- August 1–10
('2025-08-01','CompanyBudget/Operations/Utilities/Electricity',-260,'Electricity bill',1),
('2025-08-01','CompanyBudget/StaffWelfare/MealSupport/Lunch',-84,'Lunch subsidy',1),
('2025-08-02','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-900,'Marketing ads',1),
('2025-08-02','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-28,'Taxi fare',1),
('2025-08-03','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-255,'Community donation',1),
('2025-08-03','CompanyBudget/Operations/OfficeSupplies/Printing',-43,'Printed documents',1),
('2025-08-04','CompanyBudget/TravelExpense/InternationalTravel/Flight',-1570,'Conference flight',1),
('2025-08-04','CompanyBudget/TravelExpense/InternationalTravel/VisaFee',-170,'Visa fee',1),
('2025-08-05','CompanyBudget/StaffWelfare/MealSupport/Dinner',-115,'Dinner cost',1),
('2025-08-05','CompanyBudget/Operations/Utilities/Internet',-120,'Internet fee',1),

-- August 11–20
('2025-08-06','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Bus',-8,'Bus travel',1),
('2025-08-06','CompanyBudget/Operations/OfficeSupplies/Stationery',-27,'Office materials',1),
('2025-08-07','CompanyBudget/EventExpense/AnnualEvents/SummerFestival',-300,'Event materials',1),
('2025-08-07','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-240,'Local event support',1),

-- 후원금
('2025-08-08','CompanyBudget/Operations',900,'Corporate sponsorship',1),
('2025-08-08','CompanyBudget/EventExpense',680,'Regional grant received',1),

('2025-08-09','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-600,'Booth installation',1),
('2025-08-09','CompanyBudget/StaffWelfare/TeamBuilding/OutdoorActivity',-360,'Outdoor program',1),
('2025-08-10','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-25,'Taxi to office',1),

-- August 11–20
('2025-08-11','CompanyBudget/Operations/Utilities/Electricity',-245,'Electricity usage',1),
('2025-08-11','CompanyBudget/Operations/OfficeSupplies/Printing',-46,'Office print jobs',1),
('2025-08-12','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-920,'Marketing campaign',1),
('2025-08-12','CompanyBudget/StaffWelfare/MealSupport/Lunch',-90,'Lunch',1),
('2025-08-13','CompanyBudget/TravelExpense/InternationalTravel/Flight',-1620,'Flight booking',1),
('2025-08-13','CompanyBudget/Operations/Utilities/Internet',-120,'Internet payment',1),
('2025-08-14','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-260,'Charity payment',1),
('2025-08-14','CompanyBudget/Operations/OfficeSupplies/Stationery',-35,'Office pens',1),
('2025-08-15','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Bus',-7,'Bus fee',1),
('2025-08-15','CompanyBudget/StaffWelfare/MealSupport/Dinner',-116,'Dinner',1),

-- August 21–31
('2025-08-16','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-650,'Booth wiring',1),
('2025-08-16','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-240,'Community aid',1),
('2025-08-17','CompanyBudget/Operations/Utilities/Electricity',-260,'Electricity usage',1),
('2025-08-17','CompanyBudget/StaffWelfare/TeamBuilding/Workshop',-300,'Workshop materials',1),
('2025-08-18','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-930,'Advertising',1),
('2025-08-18','CompanyBudget/Operations/OfficeSupplies/Stationery',-31,'Office supplies refill',1),

-- 후원금
('2025-08-19','CompanyBudget/Operations',870,'Community sponsorship',1),

('2025-08-19','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-29,'Taxi trip',1),
('2025-08-20','CompanyBudget/Operations/Utilities/Internet',-120,'Internet',1),
('2025-08-20','CompanyBudget/EventExpense/AnnualEvents/SummerFestival',-290,'Event supplies',1),
('2025-08-21','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-250,'Donation',1),
('2025-08-21','CompanyBudget/Operations/OfficeSupplies/Printing',-49,'Printed flyers',1),
('2025-08-22','CompanyBudget/TravelExpense/DomesticTravel/Accommodation/Hotel',-430,'Hotel charge',1),
('2025-08-22','CompanyBudget/StaffWelfare/MealSupport/Lunch',-88,'Lunch',1),
('2025-08-23','CompanyBudget/Operations/Utilities/Electricity',-250,'Electricity',1),
('2025-08-23','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-960,'Campaign ads',1),
('2025-08-24','CompanyBudget/StaffWelfare/TeamBuilding/OutdoorActivity',-350,'Outdoor event',1),
('2025-08-24','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Bus',-8,'Bus fee',1),
('2025-08-25','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-260,'Charity program',1),
('2025-08-25','CompanyBudget/Operations/OfficeSupplies/Stationery',-29,'Office goods',1),
('2025-08-26','CompanyBudget/Operations/Utilities/Internet',-120,'Internet bill',1),
('2025-08-26','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-620,'Booth support',1),
('2025-08-27','CompanyBudget/StaffWelfare/MealSupport/Dinner',-118,'Dinner',1),
('2025-08-27','CompanyBudget/EventExpense/AnnualEvents/SummerFestival',-270,'Festival cost',1),
('2025-08-28','CompanyBudget/Operations/OfficeSupplies/Printing',-42,'Printing',1),
('2025-08-28','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-31,'Taxi service',1),
('2025-08-29','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-950,'Ads',1),
('2025-08-29','CompanyBudget/StaffWelfare/MealSupport/Lunch',-79,'Lunch',1),
('2025-08-30','CompanyBudget/Operations/Utilities/Electricity',-248,'Electricity use',1),
('2025-08-30','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-235,'Donation',1),
('2025-08-31','CompanyBudget/Operations/OfficeSupplies/Stationery',-32,'Office supplies',1),
('2025-08-31','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Bus',-7,'Bus',1),

-- ====== 8월까지 총 ~110개 ======
-- ====== 9월 시작 ======

-- September 1–10
('2025-09-01','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-900,'Marketing ads',1),
('2025-09-01','CompanyBudget/Operations/Utilities/Electricity',-260,'Electricity bill',1),
('2025-09-02','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-27,'Taxi to meeting',1),
('2025-09-02','CompanyBudget/Operations/OfficeSupplies/Stationery',-30,'Office stationery',1),
('2025-09-03','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-245,'Community donation',1),
('2025-09-03','CompanyBudget/Operations/OfficeSupplies/Printing',-40,'Document print',1),
('2025-09-04','CompanyBudget/TravelExpense/InternationalTravel/Flight',-1600,'International travel',1),
('2025-09-04','CompanyBudget/TravelExpense/InternationalTravel/VisaFee',-170,'Visa payment',1),
('2025-09-05','CompanyBudget/StaffWelfare/MealSupport/Lunch',-82,'Lunch subsidy',1),
('2025-09-05','CompanyBudget/Operations/Utilities/Internet',-120,'Internet fee',1),

-- September 11–20
('2025-09-06','CompanyBudget/EventExpense/AnnualEvents/SummerFestival',-260,'Late festival adjustments',1),
('2025-09-06','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Bus',-9,'Bus fare',1),
('2025-09-07','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-630,'Booth preparation',1),
('2025-09-07','CompanyBudget/StaffWelfare/TeamBuilding/OutdoorActivity',-360,'Outdoor activity',1),

-- 후원금
('2025-09-08','CompanyBudget/Operations',950,'Corporate grant received',1),

('2025-09-08','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-260,'Community event',1),
('2025-09-09','CompanyBudget/Operations/OfficeSupplies/Printing',-48,'Printed brochures',1),
('2025-09-09','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-26,'Taxi fare',1),
('2025-09-10','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-940,'Ad push',1),
('2025-09-10','CompanyBudget/StaffWelfare/MealSupport/Dinner',-118,'Dinner cost',1),

-- September 11–20
('2025-09-11','CompanyBudget/Operations/Utilities/Electricity',-245,'Electricity payment',1),
('2025-09-11','CompanyBudget/Operations/OfficeSupplies/Stationery',-29,'Office items',1),
('2025-09-12','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-235,'Local donation',1),
('2025-09-12','CompanyBudget/Operations/OfficeSupplies/Printing',-41,'Office printing',1),
('2025-09-13','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-610,'Booth wiring fee',1),
('2025-09-13','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Bus',-8,'Bus',1),
('2025-09-14','CompanyBudget/StaffWelfare/MealSupport/Lunch',-79,'Lunch subsidy',1),
('2025-09-14','CompanyBudget/Operations/Utilities/Internet',-120,'Internet cost',1),

-- 후원금
('2025-09-15','CompanyBudget/EventExpense',720,'City grant received',1),

('2025-09-15','CompanyBudget/TravelExpense/InternationalTravel/VisaFee',-170,'Visa fee',1),
('2025-09-16','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-260,'Donation for school event',1),
('2025-09-16','CompanyBudget/StaffWelfare/TeamBuilding/Workshop',-315,'Workshop instructor fee',1),
('2025-09-17','CompanyBudget/Operations/OfficeSupplies/Stationery',-32,'Office supplies',1),
('2025-09-17','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-920,'Marketing extension',1),
('2025-09-18','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-30,'Taxi to branch office',1),
('2025-09-18','CompanyBudget/Operations/Utilities/Electricity',-255,'Electricity bill',1),
('2025-09-19','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-240,'Charity payment',1),
('2025-09-19','CompanyBudget/Operations/OfficeSupplies/Printing',-44,'Printed materials',1),
('2025-09-20','CompanyBudget/StaffWelfare/MealSupport/Dinner',-112,'Dinner',1),

-- September 21–30
('2025-09-21','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/BoothSetup',-600,'Booth updates',1),
('2025-09-21','CompanyBudget/Operations/Utilities/Internet',-120,'Internet bill',1),
('2025-09-22','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Bus',-7,'Bus travel',1),
('2025-09-22','CompanyBudget/EventExpense/AnnualEvents/SummerFestival',-280,'Final summer festival cost',1),
('2025-09-23','CompanyBudget/Operations/OfficeSupplies/Stationery',-31,'Office goods refill',1),
('2025-09-23','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-250,'Local event donation',1),
('2025-09-24','CompanyBudget/Operations/OfficeSupplies/Printing',-38,'Printing expense',1),
('2025-09-24','CompanyBudget/StaffWelfare/MealSupport/Lunch',-78,'Lunch',1),
('2025-09-25','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-960,'Marketing closeout ads',1),
('2025-09-25','CompanyBudget/Operations/Utilities/Electricity',-248,'Electricity',1),
('2025-09-26','CompanyBudget/TravelExpense/InternationalTravel/Flight',-1620,'Flight for event',1),
('2025-09-26','CompanyBudget/StaffWelfare/MealSupport/Dinner',-118,'Dinner reimbursement',1),
('2025-09-27','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-235,'Donation',1),
('2025-09-27','CompanyBudget/Operations/OfficeSupplies/Printing',-42,'Printing cost',1),
('2025-09-28','CompanyBudget/StaffWelfare/TeamBuilding/OutdoorActivity',-350,'Outdoor team event',1),
('2025-09-28','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-29,'Taxi charge',1),
('2025-09-29','CompanyBudget/EventExpense/SpecialEvents/ProductLaunch/Advertising',-930,'Advertising payment',1),
('2025-09-29','CompanyBudget/Operations/OfficeSupplies/Stationery',-30,'Office items',1),
('2025-09-30','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-260,'Charity support',1),
('2025-09-30','CompanyBudget/StaffWelfare/MealSupport/Lunch',-81,'Lunch reimbursement',1);

INSERT INTO transaction (t_date, branch, cashflow, description, uid) VALUES
('2025-10-01','CompanyBudget/Operations/Utilities/Electricity',-260,'October electricity bill',1),
('2025-10-01','CompanyBudget/TravelExpense/DomesticTravel/Transportation/Taxi',-28,'Taxi to meeting',1),
('2025-10-01','CompanyBudget/Operations/OfficeSupplies/Stationery',-33,'Office pens restock',1),
('2025-10-02','CompanyBudget/EventExpense/SpecialEvents/CommunityEvent',-250,'Community school support',1),
